asset,usdt_symbol,usdt_current_state,usdt_color_age_days,usdt_flip,btc_symbol,btc_current_state,btc_color_age_days,btc_flip,score,score_tier,market_cap_rank,reason,usdt_tradingview_link,btc_tradingview_link
ANKR,ANKRUSDT,Gray,7,No,ANKRBTC,Blue,163,No,0,D Ignore,527,"Latest two closed candles are not same Gold/Blue color — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=ANKRUSDT,https://www.tradingview.com/chart/?symbol=ANKRBTC
ANT,ANTUSDT,Gold,154,No,ANTBTC,Blue,15,No,0,D Ignore,1141,"Two-color confirmation did not come immediately after Gray — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=ANTUSDT,https://www.tradingview.com/chart/?symbol=ANTBTC
ANY,ANYUSDT,Unknown,,No,ANYBTC,Unknown,,No,0,D Ignore,1344,Not enough candles: 117 — not eligible for AI research,https://www.tradingview.com/chart/?symbol=BINANCE:ANYUSDT,https://www.tradingview.com/chart/?symbol=BINANCE:ANYBTC
APE,APEUSDT,Blue,19,No,APEBTC,Blue,170,No,0,D Ignore,213,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=APEUSDT,https://www.tradingview.com/chart/?symbol=APEBTC
API3,API3USDT,Gray,1,No,API3BTC,Blue,104,No,0,D Ignore,606,"Latest two closed candles are not same Gold/Blue color — small-cap potential, small-cap high risk, fresh signal, clean transition",https://www.tradingview.com/chart/?symbol=API3USDT,https://www.tradingview.com/chart/?symbol=API3BTC
APT,APTUSDT,Blue,88,No,APTBTC,Blue,90,No,0,D Ignore,113,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=APTUSDT,https://www.tradingview.com/chart/?symbol=APTBTC
AR,ARUSDT,Gold,4,No,ARBTC,Blue,15,No,0,D Ignore,214,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=ARUSDT,https://www.tradingview.com/chart/?symbol=ARBTC
ARB,ARBUSDT,Gray,8,No,ARBBTC,Blue,38,No,0,D Ignore,93,"Latest two closed candles are not same Gold/Blue color — large-cap stability, top market cap, clean transition",https://www.tradingview.com/chart/?symbol=ARBUSDT,https://www.tradingview.com/chart/?symbol=ARBBTC
ARDR,ARDRUSDT,Blue,168,No,ARDRBTC,Gold,9,No,0,D Ignore,834,"Two-color confirmation did not come immediately after Gray — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=ARDRUSDT,https://www.tradingview.com/chart/?symbol=ARDRBTC
ARK,ARKUSDT,Gray,1,No,ARKBTC,Blue,59,No,0,D Ignore,764,"Latest two closed candles are not same Gold/Blue color — small-cap potential, small-cap high risk, fresh signal, clean transition",https://www.tradingview.com/chart/?symbol=ARKUSDT,https://www.tradingview.com/chart/?symbol=ARKBTC
ARKM,ARKMUSDT,Gray,1,No,ARKMBTC,Blue,103,No,0,D Ignore,324,"Latest two closed candles are not same Gold/Blue color — small-cap potential, small-cap high risk, fresh signal, clean transition",https://www.tradingview.com/chart/?symbol=ARKMUSDT,https://www.tradingview.com/chart/?symbol=ARKMBTC
ARMB,ARMBUSDT,Unknown,,No,,,,No,0,D Ignore,,Not enough candles: 48 — not eligible for AI research,https://www.tradingview.com/chart/?symbol=BINANCE:ARMBUSDT,
ARPA,ARPAUSDT,Gold,2,No,ARPABTC,Gray,9,No,0,D Ignore,901,"Two-color confirmation did not come immediately after Gray — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=ARPAUSDT,https://www.tradingview.com/chart/?symbol=ARPABTC
ASMLB,ASMLBUSDT,Unknown,,No,,,,No,0,D Ignore,1873,Not enough candles: 27 — not eligible for AI research,https://www.tradingview.com/chart/?symbol=BINANCE:ASMLBUSDT,
ASR,ASRUSDT,Blue,170,No,ASRBTC,Blue,65,No,0,D Ignore,1345,"Two-color confirmation did not come immediately after Gray — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=ASRUSDT,https://www.tradingview.com/chart/?symbol=ASRBTC
AST,ASTUSDT,Blue,63,No,ASTBTC,Blue,60,No,0,D Ignore,,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=ASTUSDT,https://www.tradingview.com/chart/?symbol=ASTBTC
ASTER,ASTERUSDT,Gold,5,No,,,,No,0,D Ignore,47,"Two-color confirmation did not come immediately after Gray — large-cap stability, top market cap, clean transition",https://www.tradingview.com/chart/?symbol=ASTERUSDT,
ASTR,ASTRUSDT,Gray,2,No,ASTRBTC,Blue,149,No,0,D Ignore,453,"Latest two closed candles are not same Gold/Blue color — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=ASTRUSDT,https://www.tradingview.com/chart/?symbol=ASTRBTC
ASTSB,ASTSBUSDT,Unknown,,No,,,,No,0,D Ignore,,Not enough candles: 27 — not eligible for AI research,https://www.tradingview.com/chart/?symbol=BINANCE:ASTSBUSDT,
ATA,ATAUSDT,Blue,14,No,ATABTC,Blue,91,No,0,D Ignore,,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=ATAUSDT,https://www.tradingview.com/chart/?symbol=ATABTC
ATM,ATMUSDT,Blue,11,No,ATMBTC,Blue,55,No,0,D Ignore,1158,"Two-color confirmation did not come immediately after Gray — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=ATMUSDT,https://www.tradingview.com/chart/?symbol=ATMBTC
ATOM,ATOMUSDT,Blue,73,No,ATOMBTC,Blue,54,No,0,D Ignore,81,"Two-color confirmation did not come immediately after Gray — large-cap stability, top market cap, clean transition",https://www.tradingview.com/chart/?symbol=ATOMUSDT,https://www.tradingview.com/chart/?symbol=ATOMBTC
